date,total_cases,total_deaths
30/01/2020,1,0
31/01/2020,1,0
01/02/2020,1,0
02/02/2020,2,0
03/02/2020,3,0
04/02/2020,3,0
05/02/2020,3,0
06/02/2020,3,0
07/02/2020,3,0
08/02/2020,3,0
09/02/2020,3,0
10/02/2020,3,0
11/02/2020,3,0
12/02/2020,3,0
13/02/2020,3,0
14/02/2020,3,0
15/02/2020,3,0
16/02/2020,3,0
17/02/2020,3,0
18/02/2020,3,0
19/02/2020,3,0
20/02/2020,3,0
21/02/2020,3,0
22/02/2020,3,0
23/02/2020,3,0
24/02/2020,3,0
25/02/2020,3,0
26/02/2020,3,0
27/02/2020,3,0
28/02/2020,3,0
29/02/2020,3,0
01/03/2020,3,0
02/03/2020,5,0
03/03/2020,5,0
04/03/2020,28,0
05/03/2020,30,0
06/03/2020,31,0
07/03/2020,34,0
08/03/2020,39,0
09/03/2020,43,0
10/03/2020,56,0
11/03/2020,62,1
12/03/2020,73,1
13/03/2020,82,2
14/03/2020,102,2
15/03/2020,113,2
16/03/2020,119,2
17/03/2020,142,3
18/03/2020,156,3
19/03/2020,194,4
20/03/2020,244,5
21/03/2020,330,4
22/03/2020,396,7
23/03/2020,499,10
24/03/2020,536,10
25/03/2020,657,12
26/03/2020,727,20
27/03/2020,887,20
28/03/2020,987,24
29/03/2020,1024,27
30/03/2020,1251,32
31/03/2020,1397,35
01/04/2020,1998,58
02/04/2020,2543,72
03/04/2020,2567,72
04/04/2020,3082,86
05/04/2020,3588,99
06/04/2020,4778,136
07/04/2020,5311,150
08/04/2020,5916,178
09/04/2020,6725,226
10/04/2020,7598,246
11/04/2020,8446,288
12/04/2020,9205,331
13/04/2020,10453,358
14/04/2020,11487,393
15/04/2020,12322,405
16/04/2020,13430,448
17/04/2020,14352,486
18/04/2020,15722,521
19/04/2020,17615,559
20/04/2020,18539,592
21/04/2020,20080,645
22/04/2020,21370,681
23/04/2020,23077,721
24/04/2020,24530,780
25/04/2020,26283,825
26/04/2020,27890,881
27/04/2020,29451,939
28/04/2020,31324,1008
29/04/2020,33062,1079
30/04/2020,34863,1154
